Date;Value
2008/06/20;994.94748
2008/06/23;999.71826
2008/06/24;989.98498
2008/06/25;997.71315
2008/06/26;970.58397
2008/06/27;965.49107
2008/06/30;968.22253
2008/07/01;960.60877
2008/07/02;943.41813
2008/07/03;948.17079
2008/07/04;945.49379
2008/07/07;946.78328
2008/07/08;944.84426
2008/07/09;940.98528
2008/07/10;936.14068
2008/07/11;921.398
2008/07/14;920.01878
2008/07/15;902.54718
2008/07/16;918.94833
2008/07/17;930.67808
2008/07/18;933.14169
2008/07/21;938.48163
2008/07/22;944.37912
2008/07/23;959.09691
2008/07/24;947.16034
2008/07/25;943.11803
2008/07/28;930.06919
2008/07/29;941.89261
2008/07/30;960.05799
2008/07/31;952.72587
2008/08/01;945.07028
2008/08/04;931.78667
2008/08/05;951.59885
2008/08/06;962.80985
2008/08/07;954.61116
2008/08/08;977.66301
2008/08/11;987.37071
2008/08/12;984.20945
2008/08/13;976.35636
2008/08/14;979.25546
2008/08/15;988.85695
2008/08/18;981.92834
2008/08/19;966.33776
2008/08/20;972.29376
2008/08/21;965.13093
2008/08/22;975.93909
2008/08/25;969.1137
2008/08/26;974.75804
2008/08/27;978.23742
2008/08/28;988.66302
2008/08/29;987.08529
2008/09/01;987.5837
2008/09/02;986.97968
2008/09/03;982.65338
2008/09/04;961.45329
2008/09/05;958.24964
2008/09/08;985.01991
2008/09/09;964.34793
2008/09/10;967.74311
2008/09/11;973.83404
2008/09/12;972.05889
2008/09/15;936.52949
2008/09/16;929.68394
2008/09/17;898.92334
2008/09/18;904.22074
2008/09/19;956.35661
2008/09/22;929.11786
2008/09/23;910.91437
2008/09/24;911.19679
2008/09/25;923.43528
2008/09/26;918.51305
2008/09/29;866.62231
2008/09/30;903.8109
2008/10/01;908.32776
2008/10/02;888.55813
2008/10/03;884.57607
2008/10/06;849.10612
2008/10/07;816.0369
2008/10/08;783.59927
2008/10/09;753.40629
2008/10/10;723.51144
2008/10/13;786.07953
2008/10/14;806.54448
2008/10/15;753.06052
2008/10/16;747.01475
2008/10/17;753.71795
2008/10/20;792.30945
2008/10/21;785.72377
2008/10/22;750.4528
2008/10/23;749.83197
2008/10/24;723.78448
2008/10/27;709.25501
2008/10/28;756.0651
2008/10/29;761.43279
2008/10/30;789.22089
2008/10/31;805.15309
2008/11/03;804.9314
2008/11/04;828.7371
2008/11/05;804.83921
2008/11/06;773.11264
2008/11/07;784.91007
2008/11/10;786.74606
2008/11/11;773.57599
2008/11/12;745.13886
2008/11/13;758.82075
2008/11/14;742.57604
2008/11/17;727.9988
2008/11/18;727.28476
2008/11/19;696.01549
2008/11/20;661.77402
2008/11/21;680.22129
2008/11/24;706.71889
2008/11/25;709.94262
2008/11/26;727.02298
2008/11/27;735.78358
2008/11/28;752.71033
2008/12/01;708.71644
2008/12/02;712.83758
2008/12/03;724.6799
2008/12/04;710.58664
2008/12/05;715.87243
2008/12/08;742.20851
2008/12/09;739.04019
2008/12/10;745.53186
2008/12/11;728.22659
2008/12/12;713.34013
2008/12/15;703.42367
2008/12/16;717.93831
2008/12/17;699.0166
2008/12/18;686.47212
2008/12/19;703.18514
2008/12/22;692.20042
2008/12/23;686.84228
2008/12/24;684.25336
2008/12/25;684.97518
2008/12/26;684.37559
2008/12/29;682.07674
2008/12/30;697.6499
2008/12/31;712.69491
2009/01/01;712.85042
2009/01/02;730.73866
2009/01/05;748.49049
2009/01/06;766.61907
2009/01/07;743.39438
2009/01/08;736.73363
2009/01/09;735.99079
2009/01/12;727.70653
2009/01/13;727.24023
2009/01/14;706.90107
2009/01/15;703.40139
2009/01/16;704.0414
2009/01/19;704.23813
2009/01/20;687.78378
2009/01/21;701.09621
2009/01/22;690.72711
2009/01/23;695.06481
2009/01/26;690.54869
2009/01/27;697.94204
2009/01/28;714.79037
2009/01/29;707.21937
2009/01/30;706.8314
2009/02/02;698.423
2009/02/03;701.919
2009/02/04;711.59636
2009/02/05;717.83806
2009/02/06;734.34748
2009/02/09;727.0439
2009/02/10;705.94319
2009/02/11;711.42984
2009/02/12;711.29352
2009/02/13;705.1646
2009/02/16;705.86354
2009/02/17;688.13499
2009/02/18;686.22777
2009/02/19;677.61517
2009/02/20;665.99149
2009/02/23;649.24177
2009/02/24;654.99423
2009/02/25;655.33801
2009/02/26;652.81129
2009/02/27;644.66102
2009/03/02;618.53243
2009/03/03;613.3477
2009/03/04;629.22189
2009/03/05;612.0942
2009/03/06;605.67132
2009/03/09;599.56359
2009/03/10;623.08885
2009/03/11;627.98448
2009/03/12;638.40606
2009/03/13;643.90819
2009/03/16;646.98713
2009/03/17;658.43249
2009/03/18;659.45375
2009/03/19;641.92833
2009/03/20;639.56251
2009/03/23;671.67203
2009/03/24;669.88553
2009/03/25;673.87004
2009/03/26;683.744
2009/03/27;683.2809
2009/03/30;662.83243
2009/03/31;667.63362
2009/04/01;680.77359
2009/04/02;699.73458
2009/04/03;702.83278
2009/04/06;700.71935
2009/04/07;694.94496
2009/04/08;698.46749
2009/04/09;721.79156
2009/04/10;722.74652
2009/04/13;720.67062
2009/04/14;721.44204
2009/04/15;726.82171
2009/04/16;735.59817
2009/04/17;747.35618
2009/04/20;728.78457
2009/04/21;731.71659
2009/04/22;729.74916
2009/04/23;734.4444
2009/04/24;737.82833
2009/04/27;738.55799
2009/04/28;732.45024
2009/04/29;739.60641
2009/04/30;748.03721
2009/05/01;750.39624
2009/05/04;769.30738
2009/05/05;770.44833
2009/05/06;784.35249
2009/05/07;777.70379
2009/05/08;789.11344
2009/05/11;773.9315
2009/05/12;771.57499
2009/05/13;757.23924
2009/05/14;757.61173
2009/05/15;758.34993
2009/05/18;778.62692
2009/05/19;782.62064
2009/05/20;778.97738
2009/05/21;766.82359
2009/05/22;758.1582
2009/05/25;758.56065
2009/05/26;769.61514
2009/05/27;770.49684
2009/05/28;772.86079
2009/05/29;773.17357
2009/06/01;793.89814
2009/06/02;789.46448
2009/06/03;782.57009
2009/06/04;784.52754
2009/06/05;792.68704
2009/06/08;794.23555
2009/06/09;791.10066
2009/06/10;796.88172
2009/06/11;800.19902
2009/06/12;802.67836
2009/06/15;790.92402
2009/06/16;781.02545
2009/06/17;774.8531
2009/06/18;772.97416
2009/06/19;780.18522
2009/06/22;762.80444
2009/06/23;753.48577
2009/06/24;763.60579
2009/06/25;776.24094
2009/06/26;772.98173
2009/06/29;778.84971
2009/06/30;775.5438
2009/07/01;777.5111
2009/07/02;765.62111
2009/07/03;765.48051
2009/07/06;763.80047
2009/07/07;751.8121
2009/07/08;749.77777
2009/07/09;749.61275
2009/07/10;747.11756
2009/07/13;754.45326
2009/07/14;764.46517
2009/07/15;778.66191
2009/07/16;784.03052
2009/07/17;786.97073
2009/07/20;793.5083
2009/07/21;799.63972
2009/07/22;800.45769
2009/07/23;813.21098
2009/07/24;818.49338
2009/07/27;821.88058
2009/07/28;821.88332
2009/07/29;823.82049
2009/07/30;835.94001
2009/07/31;834.58807
2009/08/03;837.73197
2009/08/04;839.15931
2009/08/05;835.85976
2009/08/06;835.47256
2009/08/07;846.99936
2009/08/10;847.84526
2009/08/11;840.53713
2009/08/12;842.35391
2009/08/13;848.26997
2009/08/14;846.49387
2009/08/17;831.58038
2009/08/18;837.8981
2009/08/19;834.84993
2009/08/20;844.4814
2009/08/21;853.85846
2009/08/24;859.83578
2009/08/25;861.06111
2009/08/26;863.35872
2009/08/27;862.01589
2009/08/28;860.09299
2009/08/31;854.27645
2009/09/01;844.37695
2009/09/02;841.55191
2009/09/03;845.07496
2009/09/04;855.79532
2009/09/07;858.0004
2009/09/08;858.70975
2009/09/09;860.11668
2009/09/10;867.74928
2009/09/11;868.99044
2009/09/14;866.34558
2009/09/15;870.57753
2009/09/16;880.11199
2009/09/17;880.26629
2009/09/18;879.63582
2009/09/21;876.92101
2009/09/22;878.84872
2009/09/23;875.55271
2009/09/24;868.89717
2009/09/25;865.15931
2009/09/28;876.18598
2009/09/29;881.30384
2009/09/30;878.02754
2009/10/01;864.32404
2009/10/02;851.11676
2009/10/05;857.32823
2009/10/06;867.69328
2009/10/07;873.03934
