| time start | time end | open | high | low | close | volume | raw_2_open | raw_2_high | raw_2_low | raw_2_close |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2024-03-05 00:00:00 | 2024-03-05 06:00:00 | 3629.00 | 3740.00 | 3607.24 | 3715.80 | 274889.69 | [3542.3701171875, 3629.0] | [3640.93994140625, 3740.0] | [3529.800048828125, 3607.239990234375] | [3627.75, 3715.800048828125] |
| 2024-03-05 06:00:00 | 2024-03-05 12:00:00 | 3710.47 | 3742.00 | 3651.87 | 3731.46 | 152153.01 | [3629.0, 3710.469970703125] | [3740.0, 3742.0] | [3607.239990234375, 3651.8701171875] | [3715.800048828125, 3731.4599609375] |
| 2024-03-05 12:00:00 | 2024-03-05 18:00:00 | 3735.00 | 3822.04 | 3556.46 | 3686.51 | 447418.36 | [3710.469970703125, 3735.0] | [3742.0, 3822.0400390625] | [3651.8701171875, 3556.4599609375] | [3731.4599609375, 3686.510009765625] |
| 2024-03-05 18:00:00 | 2024-03-06 00:00:00 | 3676.01 | 3686.52 | 3200.00 | 3553.66 | 518653.59 | [3735.0, 3676.010009765625] | [3822.0400390625, 3686.52001953125] | [3556.4599609375, 3200.0] | [3686.510009765625, 3553.659912109375] |
| 2024-03-06 00:00:00 | 2024-03-06 06:00:00 | 3552.21 | 3770.63 | 3499.40 | 3769.44 | 256095.44 | [3676.010009765625, 3552.2099609375] | [3686.52001953125, 3770.6298828125] | [3200.0, 3499.39990234375] | [3553.659912109375, 3769.43994140625] |
| 2024-03-06 06:00:00 | 2024-03-06 12:00:00 | 3771.55 | 3899.47 | 3740.83 | 3879.74 | 291457.66 | [3552.2099609375, 3771.550048828125] | [3770.6298828125, 3899.469970703125] | [3499.39990234375, 3740.830078125] | [3769.43994140625, 3879.739990234375] |
| 2024-03-06 12:00:00 | 2024-03-06 18:00:00 | 3879.73 | 3900.00 | 3724.00 | 3847.06 | 295921.26 | [3771.550048828125, 3879.72998046875] | [3899.469970703125, 3900.0] | [3740.830078125, 3724.0] | [3879.739990234375, 3847.06005859375] |
| 2024-03-06 18:00:00 | 2024-03-07 00:00:00 | 3836.67 | 3892.58 | 3792.70 | 3818.58 | 125987.76 | [3879.72998046875, 3836.669921875] | [3900.0, 3892.580078125] | [3724.0, 3792.699951171875] | [3847.06005859375, 3818.580078125] |
| 2024-03-07 00:00:00 | 2024-03-07 06:00:00 | 3822.71 | 3852.69 | 3742.51 | 3753.98 | 137751.52 | [3836.669921875, 3822.7099609375] | [3892.580078125, 3852.68994140625] | [3792.699951171875, 3742.510009765625] | [3818.580078125, 3753.97998046875] |
| 2024-03-07 06:00:00 | 2024-03-07 12:00:00 | 3753.05 | 3814.92 | 3735.00 | 3787.58 | 109037.48 | [3822.7099609375, 3753.050048828125] | [3852.68994140625, 3814.919921875] | [3742.510009765625, 3735.0] | [3753.97998046875, 3787.580078125] |
| 2024-03-07 12:00:00 | 2024-03-07 18:00:00 | 3787.41 | 3872.60 | 3765.12 | 3858.61 | 158357.25 | [3753.050048828125, 3787.409912109375] | [3814.919921875, 3872.60009765625] | [3735.0, 3765.1201171875] | [3787.580078125, 3858.610107421875] |
| 2024-03-07 18:00:00 | 2024-03-08 00:00:00 | 3856.26 | 3933.81 | 3840.00 | 3868.76 | 135744.96 | [3787.409912109375, 3856.260009765625] | [3872.60009765625, 3933.81005859375] | [3765.1201171875, 3840.0] | [3858.610107421875, 3868.760009765625] |
| 2024-03-08 00:00:00 | 2024-03-08 06:00:00 | 3872.96 | 3940.60 | 3863.56 | 3888.07 | 99403.27 | [3856.260009765625, 3872.9599609375] | [3933.81005859375, 3940.60009765625] | [3840.0, 3863.56005859375] | [3868.760009765625, 3888.070068359375] |
| 2024-03-08 06:00:00 | 2024-03-08 12:00:00 | 3888.06 | 3954.98 | 3883.59 | 3950.46 | 122944.64 | [3872.9599609375, 3888.06005859375] | [3940.60009765625, 3954.97998046875] | [3863.56005859375, 3883.590087890625] | [3888.070068359375, 3950.4599609375] |
| 2024-03-08 12:00:00 | 2024-03-08 18:00:00 | 3953.00 | 3993.75 | 3820.00 | 3942.38 | 302903.09 | [3888.06005859375, 3953.0] | [3954.97998046875, 3993.75] | [3883.590087890625, 3820.0] | [3950.4599609375, 3942.3798828125] |
| 2024-03-08 18:00:00 | 2024-03-09 00:00:00 | 3936.90 | 3950.85 | 3871.28 | 3883.37 | 121043.11 | [3953.0, 3936.89990234375] | [3993.75, 3950.85009765625] | [3820.0, 3871.280029296875] | [3942.3798828125, 3883.3701171875] |
| 2024-03-09 00:00:00 | 2024-03-09 06:00:00 | 3886.04 | 3931.39 | 3877.50 | 3918.40 | 58708.04 | [3936.89990234375, 3886.0400390625] | [3950.85009765625, 3931.389892578125] | [3871.280029296875, 3877.5] | [3883.3701171875, 3918.39990234375] |
| 2024-03-09 06:00:00 | 2024-03-09 12:00:00 | 3917.51 | 3942.00 | 3887.99 | 3912.50 | 68544.38 | [3886.0400390625, 3917.510009765625] | [3931.389892578125, 3942.0] | [3877.5, 3887.989990234375] | [3918.39990234375, 3912.5] |
| 2024-03-09 12:00:00 | 2024-03-09 18:00:00 | 3910.05 | 3927.05 | 3870.01 | 3883.07 | 78709.83 | [3917.510009765625, 3910.050048828125] | [3942.0, 3927.050048828125] | [3887.989990234375, 3870.010009765625] | [3912.5, 3883.070068359375] |
| 2024-03-09 18:00:00 | 2024-03-10 00:00:00 | 3881.98 | 3912.68 | 3878.02 | 3905.20 | 48925.99 | [3910.050048828125, 3881.97998046875] | [3927.050048828125, 3912.679931640625] | [3870.010009765625, 3878.02001953125] | [3883.070068359375, 3905.199951171875] |
| 2024-03-10 00:00:00 | 2024-03-10 06:00:00 | 3908.92 | 3950.00 | 3899.51 | 3938.83 | 76291.12 | [3881.97998046875, 3908.919921875] | [3912.679931640625, 3950.0] | [3878.02001953125, 3899.510009765625] | [3905.199951171875, 3938.830078125] |
| 2024-03-10 06:00:00 | 2024-03-10 12:00:00 | 3938.12 | 3964.67 | 3920.02 | 3932.72 | 74694.73 | [3908.919921875, 3938.1201171875] | [3950.0, 3964.669921875] | [3899.510009765625, 3920.02001953125] | [3938.830078125, 3932.719970703125] |
| 2024-03-10 12:00:00 | 2024-03-10 18:00:00 | 3933.20 | 3947.18 | 3860.65 | 3912.03 | 116008.14 | [3938.1201171875, 3933.199951171875] | [3964.669921875, 3947.179931640625] | [3920.02001953125, 3860.64990234375] | [3932.719970703125, 3912.030029296875] |
| 2024-03-10 18:00:00 | 2024-03-11 00:00:00 | 3913.41 | 3918.00 | 3791.26 | 3878.47 | 89611.11 | [3933.199951171875, 3913.409912109375] | [3947.179931640625, 3918.0] | [3860.64990234375, 3791.260009765625] | [3912.030029296875, 3878.469970703125] |
| 2024-03-11 00:00:00 | 2024-03-11 06:00:00 | 3875.60 | 3888.38 | 3722.95 | 3847.98 | 130313.03 | [3913.409912109375, 3875.60009765625] | [3918.0, 3888.3798828125] | [3791.260009765625, 3722.949951171875] | [3878.469970703125, 3847.97998046875] |
| 2024-03-11 06:00:00 | 2024-03-11 12:00:00 | 3847.89 | 4054.60 | 3834.22 | 4034.25 | 299895.25 | [3875.60009765625, 3847.889892578125] | [3888.3798828125, 4054.60009765625] | [3722.949951171875, 3834.219970703125] | [3847.97998046875, 4034.25] |
