| time start | time end | open | high | low | close | volume | return_2_open_close | return_2_high_close | return_2_low_close | return_2_close_close | logreturn_2_open_close | logreturn_2_high_close | logreturn_2_low_close | logreturn_2_close_close |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2024-03-05 00:00:00 | 2024-03-05 06:00:00 | 3625.60 | 3740.00 | 3607.24 | 3715.80 | 274498.96 | -0.000593 | 0.030942 | -0.005654 | 0.024271 | -0.000593 | 0.030473 | -0.005670 | 0.023981 |
| 2024-03-05 06:00:00 | 2024-03-05 12:00:00 | 3715.81 | 3742.00 | 3651.87 | 3731.46 | 152156.31 | 0.000003 | 0.007051 | -0.017205 | 0.004214 | 0.000003 | 0.007026 | -0.017355 | 0.004206 |
| 2024-03-05 12:00:00 | 2024-03-05 18:00:00 | 3730.80 | 3822.04 | 3556.46 | 3686.51 | 447239.86 | -0.000177 | 0.024275 | -0.046899 | -0.012046 | -0.000177 | 0.023985 | -0.048034 | -0.012119 |
| 2024-03-05 18:00:00 | 2024-03-06 00:00:00 | 3686.52 | 3686.52 | 3200.00 | 3553.66 | 518982.69 | 0.000003 | 0.000003 | -0.131970 | -0.036037 | 0.000003 | 0.000003 | -0.141529 | -0.036702 |
| 2024-03-06 00:00:00 | 2024-03-06 06:00:00 | 3561.00 | 3770.63 | 3499.40 | 3769.44 | 255998.91 | 0.002066 | 0.061055 | -0.015269 | 0.060721 | 0.002063 | 0.059264 | -0.015387 | 0.058948 |
| 2024-03-06 06:00:00 | 2024-03-06 12:00:00 | 3771.55 | 3899.47 | 3740.83 | 3879.74 | 291552.28 | 0.000560 | 0.034496 | -0.007590 | 0.029262 | 0.000560 | 0.033914 | -0.007619 | 0.028842 |
| 2024-03-06 12:00:00 | 2024-03-06 18:00:00 | 3881.83 | 3900.00 | 3724.00 | 3847.06 | 295844.49 | 0.000539 | 0.005222 | -0.040142 | -0.008423 | 0.000539 | 0.005208 | -0.040970 | -0.008459 |
| 2024-03-06 18:00:00 | 2024-03-07 00:00:00 | 3836.67 | 3892.58 | 3792.70 | 3818.58 | 125969.90 | -0.002701 | 0.011832 | -0.014130 | -0.007403 | -0.002704 | 0.011763 | -0.014231 | -0.007431 |
| 2024-03-07 00:00:00 | 2024-03-07 06:00:00 | 3822.71 | 3852.69 | 3742.51 | 3753.98 | 137751.52 | 0.001082 | 0.008933 | -0.019921 | -0.016917 | 0.001081 | 0.008893 | -0.020122 | -0.017062 |
