| time start | time end | open | high | low | close | volume |
| --- | --- | --- | --- | --- | --- | --- |
| 2024-03-05 00:00:00 | 2024-03-05 06:00:00 | 3629.00 | 3740.00 | 3607.24 | 3715.80 | 274832.31 |
| 2024-03-05 06:00:00 | 2024-03-05 12:00:00 | 3715.81 | 3742.00 | 3651.87 | 3731.46 | 152156.31 |
| 2024-03-05 12:00:00 | 2024-03-05 18:00:00 | 3730.80 | 3822.04 | 3556.46 | 3686.51 | 447239.86 |
| 2024-03-05 18:00:00 | 2024-03-06 00:00:00 | 3686.52 | 3686.52 | 3200.00 | 3553.66 | 518982.69 |
| 2024-03-06 00:00:00 | 2024-03-06 06:00:00 | 3561.00 | 3770.63 | 3499.40 | 3769.44 | 255998.91 |
| 2024-03-06 06:00:00 | 2024-03-06 12:00:00 | 3771.55 | 3899.47 | 3740.83 | 3879.74 | 291457.66 |
| 2024-03-06 12:00:00 | 2024-03-06 18:00:00 | 3879.73 | 3900.00 | 3724.00 | 3847.06 | 295921.26 |
| 2024-03-06 18:00:00 | 2024-03-07 00:00:00 | 3836.67 | 3892.58 | 3792.70 | 3818.58 | 126076.49 |
| 2024-03-07 00:00:00 | 2024-03-07 06:00:00 | 3822.71 | 3852.69 | 3742.51 | 3753.98 | 137662.79 |
| 2024-03-07 06:00:00 | 2024-03-07 12:00:00 | 3753.05 | 3814.92 | 3735.00 | 3787.58 | 109069.45 |
| 2024-03-07 12:00:00 | 2024-03-07 18:00:00 | 3789.40 | 3872.60 | 3765.12 | 3858.61 | 158292.12 |
| 2024-03-07 18:00:00 | 2024-03-08 00:00:00 | 3861.92 | 3933.81 | 3840.00 | 3868.76 | 135743.14 |
| 2024-03-08 00:00:00 | 2024-03-08 06:00:00 | 3868.75 | 3940.60 | 3863.56 | 3888.07 | 99438.24 |
| 2024-03-08 06:00:00 | 2024-03-08 12:00:00 | 3888.06 | 3954.98 | 3883.59 | 3950.46 | 122375.01 |
| 2024-03-08 12:00:00 | 2024-03-08 18:00:00 | 3949.30 | 3993.75 | 3820.00 | 3942.38 | 303268.79 |
| 2024-03-08 18:00:00 | 2024-03-09 00:00:00 | 3945.00 | 3950.85 | 3871.28 | 3883.37 | 121236.52 |
| 2024-03-09 00:00:00 | 2024-03-09 06:00:00 | 3883.36 | 3931.39 | 3877.50 | 3918.40 | 58718.55 |
| 2024-03-09 06:00:00 | 2024-03-09 12:00:00 | 3917.51 | 3942.00 | 3887.99 | 3912.50 | 68331.77 |
| 2024-03-09 12:00:00 | 2024-03-09 18:00:00 | 3913.25 | 3927.05 | 3870.01 | 3883.07 | 78882.61 |
| 2024-03-09 18:00:00 | 2024-03-10 00:00:00 | 3883.80 | 3912.68 | 3878.02 | 3905.20 | 48965.83 |
| 2024-03-10 00:00:00 | 2024-03-10 06:00:00 | 3908.92 | 3950.00 | 3899.51 | 3938.83 | 76291.12 |
| 2024-03-10 06:00:00 | 2024-03-10 12:00:00 | 3938.12 | 3964.67 | 3920.02 | 3932.72 | 74721.59 |
| 2024-03-10 12:00:00 | 2024-03-10 18:00:00 | 3932.12 | 3947.18 | 3860.65 | 3912.03 | 115981.28 |
| 2024-03-10 18:00:00 | 2024-03-11 00:00:00 | 3913.41 | 3918.00 | 3791.26 | 3878.47 | 89611.11 |
| 2024-03-11 00:00:00 | 2024-03-11 06:00:00 | 3875.60 | 3888.38 | 3722.95 | 3847.98 | 130327.67 |
| 2024-03-11 06:00:00 | 2024-03-11 12:00:00 | 3849.80 | 4054.60 | 3834.22 | 4034.25 | 299991.72 |
| 2024-03-11 12:00:00 | 2024-03-11 18:00:00 | 4030.00 | 4065.80 | 3998.92 | 4038.66 | 187879.02 |
| 2024-03-11 18:00:00 | 2024-03-12 00:00:00 | 4036.60 | 4086.23 | 4027.92 | 4064.80 | 103328.23 |
| 2024-03-12 00:00:00 | 2024-03-12 06:00:00 | 4072.04 | 4093.92 | 4021.19 | 4040.01 | 107310.67 |
| 2024-03-12 06:00:00 | 2024-03-12 12:00:00 | 4038.48 | 4065.00 | 3965.00 | 4020.84 | 120915.76 |
| 2024-03-12 12:00:00 | 2024-03-12 18:00:00 | 4024.08 | 4053.80 | 3828.98 | 3950.56 | 271886.92 |
| 2024-03-12 18:00:00 | 2024-03-13 00:00:00 | 3949.82 | 3991.00 | 3927.18 | 3979.97 | 132745.08 |
| 2024-03-13 00:00:00 | 2024-03-13 06:00:00 | 3979.96 | 4045.86 | 3973.53 | 4037.04 | 87260.31 |
| 2024-03-13 06:00:00 | 2024-03-13 12:00:00 | 4038.18 | 4083.00 | 4033.60 | 4048.91 | 119253.76 |
| 2024-03-13 12:00:00 | 2024-03-13 18:00:00 | 4048.90 | 4053.00 | 3932.23 | 3981.01 | 191519.96 |
| 2024-03-13 18:00:00 | 2024-03-14 00:00:00 | 3980.05 | 4021.00 | 3973.51 | 4004.79 | 84308.44 |
| 2024-03-14 00:00:00 | 2024-03-14 06:00:00 | 4005.79 | 4010.98 | 3940.64 | 3969.16 | 94266.79 |
| 2024-03-14 06:00:00 | 2024-03-14 12:00:00 | 3970.53 | 3997.70 | 3943.12 | 3955.04 | 89062.65 |
| 2024-03-14 12:00:00 | 2024-03-14 18:00:00 | 3951.40 | 3967.40 | 3820.20 | 3874.80 | 249671.53 |
| 2024-03-14 18:00:00 | 2024-03-15 00:00:00 | 3874.81 | 3892.00 | 3723.00 | 3881.69 | 215246.50 |
| 2024-03-15 00:00:00 | 2024-03-15 06:00:00 | 3886.38 | 3934.02 | 3623.00 | 3674.21 | 326179.36 |
| 2024-03-15 06:00:00 | 2024-03-15 12:00:00 | 3673.80 | 3779.92 | 3570.00 | 3689.33 | 288898.81 |
| 2024-03-15 12:00:00 | 2024-03-15 18:00:00 | 3690.92 | 3742.00 | 3659.01 | 3694.74 | 164260.59 |
| 2024-03-15 18:00:00 | 2024-03-16 00:00:00 | 3697.50 | 3806.62 | 3606.65 | 3742.19 | 168083.81 |
| 2024-03-16 00:00:00 | 2024-03-16 06:00:00 | 3739.04 | 3781.12 | 3690.18 | 3714.01 | 98064.77 |
| 2024-03-16 06:00:00 | 2024-03-16 12:00:00 | 3715.40 | 3741.35 | 3661.83 | 3692.29 | 87543.55 |
| 2024-03-16 12:00:00 | 2024-03-16 18:00:00 | 3695.56 | 3711.37 | 3626.39 | 3632.39 | 134075.01 |
| 2024-03-16 18:00:00 | 2024-03-17 00:00:00 | 3638.14 | 3638.14 | 3468.80 | 3523.09 | 228662.78 |
| 2024-03-17 00:00:00 | 2024-03-17 06:00:00 | 3522.11 | 3582.40 | 3504.95 | 3545.78 | 109734.06 |
| 2024-03-17 06:00:00 | 2024-03-17 12:00:00 | 3548.68 | 3606.41 | 3412.00 | 3578.99 | 202185.48 |
| 2024-03-17 12:00:00 | 2024-03-17 18:00:00 | 3578.61 | 3649.00 | 3528.36 | 3644.63 | 133073.21 |
| 2024-03-17 18:00:00 | 2024-03-18 00:00:00 | 3638.61 | 3678.68 | 3623.04 | 3644.70 | 72965.08 |
| 2024-03-18 00:00:00 | 2024-03-18 06:00:00 | 3638.68 | 3645.02 | 3557.31 | 3634.29 | 115921.50 |
| 2024-03-18 06:00:00 | 2024-03-18 12:00:00 | 3631.40 | 3640.97 | 3548.99 | 3597.83 | 135515.12 |
| 2024-03-18 12:00:00 | 2024-03-18 18:00:00 | 3595.71 | 3613.41 | 3454.09 | 3508.18 | 200914.24 |
| 2024-03-18 18:00:00 | 2024-03-19 00:00:00 | 3511.67 | 3548.00 | 3465.00 | 3520.47 | 118426.99 |
| 2024-03-19 00:00:00 | 2024-03-19 06:00:00 | 3518.65 | 3548.09 | 3353.00 | 3382.20 | 259820.52 |
| 2024-03-19 06:00:00 | 2024-03-19 12:00:00 | 3381.08 | 3393.07 | 3202.84 | 3276.51 | 341400.20 |
| 2024-03-19 12:00:00 | 2024-03-19 18:00:00 | 3276.60 | 3357.68 | 3223.50 | 3314.29 | 248158.46 |
| 2024-03-19 18:00:00 | 2024-03-20 00:00:00 | 3308.12 | 3359.80 | 3150.88 | 3158.65 | 200251.59 |
| 2024-03-20 00:00:00 | 2024-03-20 06:00:00 | 3156.40 | 3266.01 | 3056.56 | 3109.95 | 313301.52 |
| 2024-03-20 06:00:00 | 2024-03-20 12:00:00 | 3114.25 | 3296.72 | 3108.23 | 3293.26 | 242049.30 |
| 2024-03-20 12:00:00 | 2024-03-20 18:00:00 | 3293.27 | 3397.00 | 3140.71 | 3299.19 | 400117.71 |
| 2024-03-20 18:00:00 | 2024-03-21 00:00:00 | 3324.60 | 3535.24 | 3295.42 | 3516.53 | 251870.90 |
| 2024-03-21 00:00:00 | 2024-03-21 06:00:00 | 3519.72 | 3558.99 | 3446.47 | 3510.09 | 155414.89 |
| 2024-03-21 06:00:00 | 2024-03-21 12:00:00 | 3506.26 | 3587.32 | 3502.00 | 3531.18 | 139088.21 |
| 2024-03-21 12:00:00 | 2024-03-21 18:00:00 | 3535.14 | 3574.41 | 3462.10 | 3473.00 | 156546.76 |
| 2024-03-21 18:00:00 | 2024-03-22 00:00:00 | 3469.52 | 3521.91 | 3412.00 | 3492.84 | 151600.10 |
| 2024-03-22 00:00:00 | 2024-03-22 06:00:00 | 3491.50 | 3533.49 | 3454.01 | 3531.80 | 89021.32 |
| 2024-03-22 06:00:00 | 2024-03-22 12:00:00 | 3532.88 | 3542.52 | 3394.42 | 3405.18 | 99208.69 |
| 2024-03-22 12:00:00 | 2024-03-22 18:00:00 | 3407.59 | 3425.84 | 3281.00 | 3335.97 | 213155.42 |
| 2024-03-22 18:00:00 | 2024-03-23 00:00:00 | 3337.08 | 3362.19 | 3250.00 | 3336.35 | 157516.13 |
| 2024-03-23 00:00:00 | 2024-03-23 06:00:00 | 3337.01 | 3362.38 | 3270.08 | 3331.62 | 75217.17 |
| 2024-03-23 06:00:00 | 2024-03-23 12:00:00 | 3333.48 | 3383.80 | 3321.21 | 3364.98 | 69308.13 |
| 2024-03-23 12:00:00 | 2024-03-23 18:00:00 | 3365.38 | 3435.48 | 3343.41 | 3403.81 | 101757.74 |
| 2024-03-23 18:00:00 | 2024-03-24 00:00:00 | 3404.83 | 3413.39 | 3327.28 | 3329.53 | 77345.54 |
| 2024-03-24 00:00:00 | 2024-03-24 06:00:00 | 3327.44 | 3368.16 | 3298.76 | 3325.13 | 75076.42 |
| 2024-03-24 06:00:00 | 2024-03-24 12:00:00 | 3325.96 | 3392.72 | 3315.01 | 3387.37 | 48703.47 |
| 2024-03-24 12:00:00 | 2024-03-24 18:00:00 | 3390.13 | 3414.46 | 3333.00 | 3367.53 | 70118.56 |
| 2024-03-24 18:00:00 | 2024-03-25 00:00:00 | 3369.36 | 3471.22 | 3367.08 | 3454.99 | 66904.70 |
| 2024-03-25 00:00:00 | 2024-03-25 06:00:00 | 3454.98 | 3506.49 | 3420.12 | 3486.32 | 103225.14 |
| 2024-03-25 06:00:00 | 2024-03-25 12:00:00 | 3485.83 | 3487.98 | 3432.15 | 3436.20 | 72856.85 |
| 2024-03-25 12:00:00 | 2024-03-25 18:00:00 | 3436.43 | 3666.00 | 3430.00 | 3638.91 | 234576.77 |
| 2024-03-25 18:00:00 | 2024-03-26 00:00:00 | 3637.80 | 3646.66 | 3566.47 | 3590.43 | 137953.73 |
| 2024-03-26 00:00:00 | 2024-03-26 06:00:00 | 3590.42 | 3643.71 | 3580.95 | 3630.29 | 167787.24 |
| 2024-03-26 06:00:00 | 2024-03-26 12:00:00 | 3630.00 | 3678.86 | 3627.00 | 3631.61 | 92901.71 |
| 2024-03-26 12:00:00 | 2024-03-26 18:00:00 | 3630.00 | 3654.34 | 3542.62 | 3583.81 | 147149.36 |
| 2024-03-26 18:00:00 | 2024-03-27 00:00:00 | 3586.51 | 3613.50 | 3555.56 | 3587.32 | 91150.25 |
| 2024-03-27 00:00:00 | 2024-03-27 06:00:00 | 3588.71 | 3627.67 | 3577.00 | 3612.41 | 58928.91 |
| 2024-03-27 06:00:00 | 2024-03-27 12:00:00 | 3610.50 | 3616.50 | 3532.96 | 3585.07 | 76254.16 |
| 2024-03-27 12:00:00 | 2024-03-27 18:00:00 | 3583.70 | 3665.84 | 3484.00 | 3498.00 | 228464.46 |
| 2024-03-27 18:00:00 | 2024-03-28 00:00:00 | 3492.46 | 3521.47 | 3460.02 | 3501.20 | 79571.74 |
| 2024-03-28 00:00:00 | 2024-03-28 06:00:00 | 3499.52 | 3542.37 | 3465.00 | 3533.70 | 128362.54 |
| 2024-03-28 06:00:00 | 2024-03-28 12:00:00 | 3538.00 | 3595.70 | 3526.09 | 3579.74 | 98658.21 |
| 2024-03-28 12:00:00 | 2024-03-28 18:00:00 | 3579.55 | 3611.78 | 3537.48 | 3553.85 | 108442.71 |
| 2024-03-28 18:00:00 | 2024-03-29 00:00:00 | 3553.03 | 3580.00 | 3541.37 | 3560.49 | 69153.83 |
| 2024-03-29 00:00:00 | 2024-03-29 06:00:00 | 3559.60 | 3584.37 | 3550.05 | 3558.03 | 47316.00 |
| 2024-03-29 06:00:00 | 2024-03-29 12:00:00 | 3560.64 | 3576.27 | 3512.85 | 3549.86 | 95735.74 |
| 2024-03-29 12:00:00 | 2024-03-29 18:00:00 | 3549.85 | 3558.00 | 3445.91 | 3485.24 | 113291.91 |
| 2024-03-29 18:00:00 | 2024-03-30 00:00:00 | 3483.60 | 3524.55 | 3475.39 | 3509.74 | 66758.20 |
| 2024-03-30 00:00:00 | 2024-03-30 06:00:00 | 3512.53 | 3532.77 | 3486.58 | 3508.00 | 70844.51 |
| 2024-03-30 06:00:00 | 2024-03-30 12:00:00 | 3506.29 | 3564.00 | 3492.20 | 3559.99 | 63281.50 |
| 2024-03-30 12:00:00 | 2024-03-30 18:00:00 | 3565.81 | 3565.81 | 3526.08 | 3531.97 | 42698.30 |
| 2024-03-30 18:00:00 | 2024-03-31 00:00:00 | 3529.98 | 3531.97 | 3485.00 | 3505.65 | 39208.43 |
| 2024-03-31 00:00:00 | 2024-03-31 06:00:00 | 3507.42 | 3607.97 | 3505.09 | 3604.20 | 63409.80 |
| 2024-03-31 06:00:00 | 2024-03-31 12:00:00 | 3604.03 | 3632.80 | 3600.38 | 3609.20 | 70873.06 |
| 2024-03-31 12:00:00 | 2024-03-31 18:00:00 | 3610.72 | 3638.00 | 3606.78 | 3626.59 | 52935.85 |
| 2024-03-31 18:00:00 | 2024-04-01 00:00:00 | 3625.61 | 3655.32 | 3613.75 | 3645.29 | 56253.17 |
| 2024-04-01 00:00:00 | 2024-04-01 06:00:00 | 3645.95 | 3645.95 | 3500.00 | 3510.00 | 88682.59 |
| 2024-04-01 06:00:00 | 2024-04-01 12:00:00 | 3505.76 | 3560.17 | 3502.23 | 3537.98 | 91970.63 |
| 2024-04-01 12:00:00 | 2024-04-01 18:00:00 | 3534.74 | 3570.58 | 3413.71 | 3443.55 | 161995.47 |
| 2024-04-01 18:00:00 | 2024-04-02 00:00:00 | 3437.60 | 3514.88 | 3418.93 | 3503.80 | 66196.95 |
| 2024-04-02 00:00:00 | 2024-04-02 06:00:00 | 3505.40 | 3505.60 | 3319.20 | 3369.58 | 162714.62 |
| 2024-04-02 06:00:00 | 2024-04-02 12:00:00 | 3371.22 | 3388.58 | 3276.72 | 3308.63 | 155430.07 |
| 2024-04-02 12:00:00 | 2024-04-02 18:00:00 | 3305.00 | 3324.26 | 3212.00 | 3269.01 | 215210.28 |
| 2024-04-02 18:00:00 | 2024-04-03 00:00:00 | 3278.14 | 3305.00 | 3241.69 | 3278.96 | 89954.78 |
| 2024-04-03 00:00:00 | 2024-04-03 06:00:00 | 3285.35 | 3324.60 | 3202.79 | 3293.03 | 115168.67 |
| 2024-04-03 06:00:00 | 2024-04-03 12:00:00 | 3293.04 | 3357.58 | 3289.80 | 3317.53 | 101251.21 |
| 2024-04-03 12:00:00 | 2024-04-03 18:00:00 | 3317.52 | 3367.40 | 3292.80 | 3324.51 | 106209.97 |
| 2024-04-03 18:00:00 | 2024-04-04 00:00:00 | 3313.30 | 3341.30 | 3281.21 | 3310.83 | 87813.41 |
| 2024-04-04 00:00:00 | 2024-04-04 06:00:00 | 3308.01 | 3333.00 | 3250.92 | 3296.01 | 91266.75 |
| 2024-04-04 06:00:00 | 2024-04-04 12:00:00 | 3295.21 | 3355.48 | 3294.46 | 3340.36 | 52634.69 |
| 2024-04-04 12:00:00 | 2024-04-04 18:00:00 | 3341.41 | 3416.83 | 3338.95 | 3412.59 | 85851.57 |
| 2024-04-04 18:00:00 | 2024-04-05 00:00:00 | 3411.31 | 3443.93 | 3278.02 | 3327.39 | 126567.15 |
| 2024-04-05 00:00:00 | 2024-04-05 06:00:00 | 3327.91 | 3336.00 | 3242.01 | 3273.79 | 98424.70 |
| 2024-04-05 06:00:00 | 2024-04-05 12:00:00 | 3271.00 | 3312.80 | 3236.80 | 3243.52 | 80228.20 |
| 2024-04-05 12:00:00 | 2024-04-05 18:00:00 | 3248.00 | 3333.31 | 3210.00 | 3312.55 | 128096.62 |
| 2024-04-05 18:00:00 | 2024-04-06 00:00:00 | 3312.01 | 3350.00 | 3305.10 | 3317.85 | 37793.86 |
| 2024-04-06 00:00:00 | 2024-04-06 06:00:00 | 3317.41 | 3352.81 | 3306.68 | 3337.06 | 41831.22 |
| 2024-04-06 06:00:00 | 2024-04-06 12:00:00 | 3334.60 | 3351.52 | 3325.00 | 3330.67 | 39686.32 |
| 2024-04-06 12:00:00 | 2024-04-06 18:00:00 | 3328.00 | 3361.77 | 3313.40 | 3341.00 | 42486.21 |
| 2024-04-06 18:00:00 | 2024-04-07 00:00:00 | 3340.22 | 3398.42 | 3336.94 | 3351.59 | 59471.00 |
| 2024-04-07 00:00:00 | 2024-04-07 06:00:00 | 3355.15 | 3413.61 | 3344.08 | 3400.00 | 51420.93 |
| 2024-04-07 06:00:00 | 2024-04-07 12:00:00 | 3397.06 | 3401.08 | 3376.83 | 3390.33 | 30467.81 |
| 2024-04-07 12:00:00 | 2024-04-07 18:00:00 | 3391.00 | 3420.00 | 3377.34 | 3386.59 | 63560.53 |
| 2024-04-07 18:00:00 | 2024-04-08 00:00:00 | 3384.01 | 3459.94 | 3368.00 | 3454.20 | 64905.07 |
| 2024-04-08 00:00:00 | 2024-04-08 06:00:00 | 3450.45 | 3457.27 | 3406.36 | 3428.61 | 47026.90 |
| 2024-04-08 06:00:00 | 2024-04-08 12:00:00 | 3428.60 | 3640.44 | 3421.12 | 3633.07 | 215047.78 |
| 2024-04-08 12:00:00 | 2024-04-08 18:00:00 | 3638.47 | 3677.00 | 3612.00 | 3668.20 | 150559.15 |
| 2024-04-08 18:00:00 | 2024-04-09 00:00:00 | 3668.19 | 3730.71 | 3668.19 | 3694.61 | 84161.05 |
| 2024-04-09 00:00:00 | 2024-04-09 06:00:00 | 3694.60 | 3727.34 | 3665.25 | 3692.36 | 81604.31 |
