| time start | time end | open | high | low | close | volume | yday_time_start | wday_time_start | tday_time_start | yday_time_end | wday_time_end | tday_time_end |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2024-03-05 00:00:00 | 2024-03-05 06:00:00 | 3625.60 | 3740.00 | 3607.24 | 3715.80 | 274556.35 | 0.17 | 0.29 | 0.00 | 0.17 | 0.29 | 0.25 |
| 2024-03-05 06:00:00 | 2024-03-05 12:00:00 | 3710.47 | 3742.00 | 3651.87 | 3731.46 | 152153.00 | 0.17 | 0.29 | 0.25 | 0.17 | 0.29 | 0.50 |
| 2024-03-05 12:00:00 | 2024-03-05 18:00:00 | 3735.00 | 3822.04 | 3556.46 | 3686.51 | 447185.78 | 0.17 | 0.29 | 0.50 | 0.17 | 0.29 | 0.75 |
| 2024-03-05 18:00:00 | 2024-03-06 00:00:00 | 3686.52 | 3686.52 | 3200.00 | 3553.66 | 518886.16 | 0.17 | 0.29 | 0.75 | 0.18 | 0.43 | 0.00 |
| 2024-03-06 00:00:00 | 2024-03-06 06:00:00 | 3552.21 | 3770.63 | 3499.40 | 3769.44 | 255279.66 | 0.18 | 0.43 | 0.00 | 0.18 | 0.43 | 0.25 |
| 2024-03-06 06:00:00 | 2024-03-06 12:00:00 | 3761.21 | 3899.47 | 3740.83 | 3879.74 | 292273.43 | 0.18 | 0.43 | 0.25 | 0.18 | 0.43 | 0.50 |
| 2024-03-06 12:00:00 | 2024-03-06 18:00:00 | 3879.73 | 3900.00 | 3724.00 | 3847.06 | 295921.26 | 0.18 | 0.43 | 0.50 | 0.18 | 0.43 | 0.75 |
| 2024-03-06 18:00:00 | 2024-03-07 00:00:00 | 3836.67 | 3892.58 | 3792.70 | 3818.58 | 125987.76 | 0.18 | 0.43 | 0.75 | 0.18 | 0.57 | 0.00 |
| 2024-03-07 00:00:00 | 2024-03-07 06:00:00 | 3822.71 | 3852.69 | 3742.51 | 3753.98 | 137763.58 | 0.18 | 0.57 | 0.00 | 0.18 | 0.57 | 0.25 |
| 2024-03-07 06:00:00 | 2024-03-07 12:00:00 | 3757.67 | 3814.92 | 3735.00 | 3787.58 | 109025.42 | 0.18 | 0.57 | 0.25 | 0.18 | 0.57 | 0.50 |
| 2024-03-07 12:00:00 | 2024-03-07 18:00:00 | 3787.41 | 3872.60 | 3765.12 | 3858.61 | 158324.09 | 0.18 | 0.57 | 0.50 | 0.18 | 0.57 | 0.75 |
| 2024-03-07 18:00:00 | 2024-03-08 00:00:00 | 3861.92 | 3933.81 | 3840.00 | 3868.76 | 135743.14 | 0.18 | 0.57 | 0.75 | 0.18 | 0.71 | 0.00 |
| 2024-03-08 00:00:00 | 2024-03-08 06:00:00 | 3868.75 | 3940.60 | 3863.56 | 3888.07 | 99438.24 | 0.18 | 0.71 | 0.00 | 0.18 | 0.71 | 0.25 |
| 2024-03-08 06:00:00 | 2024-03-08 12:00:00 | 3888.06 | 3954.98 | 3883.59 | 3950.46 | 122944.64 | 0.18 | 0.71 | 0.25 | 0.18 | 0.71 | 0.50 |
| 2024-03-08 12:00:00 | 2024-03-08 18:00:00 | 3953.00 | 3993.75 | 3820.00 | 3942.38 | 302903.08 | 0.18 | 0.71 | 0.50 | 0.18 | 0.71 | 0.75 |
| 2024-03-08 18:00:00 | 2024-03-09 00:00:00 | 3936.90 | 3950.85 | 3871.28 | 3883.37 | 121043.11 | 0.18 | 0.71 | 0.75 | 0.19 | 0.86 | 0.00 |
| 2024-03-09 00:00:00 | 2024-03-09 06:00:00 | 3886.04 | 3931.39 | 3877.50 | 3918.40 | 59109.32 | 0.19 | 0.86 | 0.00 | 0.19 | 0.86 | 0.25 |
| 2024-03-09 06:00:00 | 2024-03-09 12:00:00 | 3918.51 | 3942.00 | 3887.99 | 3912.50 | 67930.49 | 0.19 | 0.86 | 0.25 | 0.19 | 0.86 | 0.50 |
| 2024-03-09 12:00:00 | 2024-03-09 18:00:00 | 3913.25 | 3927.05 | 3870.01 | 3883.07 | 78922.44 | 0.19 | 0.86 | 0.50 | 0.19 | 0.86 | 0.75 |
| 2024-03-09 18:00:00 | 2024-03-10 00:00:00 | 3881.98 | 3912.68 | 3878.02 | 3905.20 | 48880.09 | 0.19 | 0.86 | 0.75 | 0.19 | 1.00 | 0.00 |
| 2024-03-10 00:00:00 | 2024-03-10 06:00:00 | 3908.92 | 3950.00 | 3899.51 | 3938.83 | 76341.54 | 0.19 | 1.00 | 0.00 | 0.19 | 1.00 | 0.25 |
| 2024-03-10 06:00:00 | 2024-03-10 12:00:00 | 3939.71 | 3964.67 | 3920.02 | 3932.72 | 74717.07 | 0.19 | 1.00 | 0.25 | 0.19 | 1.00 | 0.50 |
| 2024-03-10 12:00:00 | 2024-03-10 18:00:00 | 3932.12 | 3947.18 | 3860.65 | 3912.03 | 115981.28 | 0.19 | 1.00 | 0.50 | 0.19 | 1.00 | 0.75 |
| 2024-03-10 18:00:00 | 2024-03-11 00:00:00 | 3913.41 | 3918.00 | 3791.26 | 3878.47 | 90579.04 | 0.19 | 1.00 | 0.75 | 0.19 | 0.14 | 0.00 |
| 2024-03-11 00:00:00 | 2024-03-11 06:00:00 | 3878.79 | 3888.38 | 3722.95 | 3847.98 | 129345.10 | 0.19 | 0.14 | 0.00 | 0.19 | 0.14 | 0.25 |
| 2024-03-11 06:00:00 | 2024-03-11 12:00:00 | 3847.89 | 4054.60 | 3834.22 | 4034.25 | 300006.36 | 0.19 | 0.14 | 0.25 | 0.19 | 0.14 | 0.50 |
| 2024-03-11 12:00:00 | 2024-03-11 18:00:00 | 4030.00 | 4065.80 | 3998.92 | 4038.66 | 187879.02 | 0.19 | 0.14 | 0.50 | 0.19 | 0.14 | 0.75 |
| 2024-03-11 18:00:00 | 2024-03-12 00:00:00 | 4036.60 | 4086.23 | 4027.92 | 4064.80 | 103388.02 | 0.19 | 0.14 | 0.75 | 0.19 | 0.29 | 0.00 |
| 2024-03-12 00:00:00 | 2024-03-12 06:00:00 | 4072.04 | 4093.92 | 4021.19 | 4040.01 | 107250.88 | 0.19 | 0.29 | 0.00 | 0.19 | 0.29 | 0.25 |
| 2024-03-12 06:00:00 | 2024-03-12 12:00:00 | 4038.48 | 4065.00 | 3965.00 | 4020.84 | 120915.76 | 0.19 | 0.29 | 0.25 | 0.19 | 0.29 | 0.50 |
| 2024-03-12 12:00:00 | 2024-03-12 18:00:00 | 4024.08 | 4053.80 | 3828.98 | 3950.56 | 271886.92 | 0.19 | 0.29 | 0.50 | 0.19 | 0.29 | 0.75 |
| 2024-03-12 18:00:00 | 2024-03-13 00:00:00 | 3949.82 | 3991.00 | 3927.18 | 3979.97 | 132776.35 | 0.19 | 0.29 | 0.75 | 0.20 | 0.43 | 0.00 |
| 2024-03-13 00:00:00 | 2024-03-13 06:00:00 | 3984.15 | 4045.86 | 3973.53 | 4037.04 | 87229.04 | 0.20 | 0.43 | 0.00 | 0.20 | 0.43 | 0.25 |
| 2024-03-13 06:00:00 | 2024-03-13 12:00:00 | 4038.18 | 4083.00 | 4033.60 | 4048.91 | 119296.71 | 0.20 | 0.43 | 0.25 | 0.20 | 0.43 | 0.50 |
| 2024-03-13 12:00:00 | 2024-03-13 18:00:00 | 4052.18 | 4053.00 | 3932.23 | 3981.01 | 191445.77 | 0.20 | 0.43 | 0.50 | 0.20 | 0.43 | 0.75 |
| 2024-03-13 18:00:00 | 2024-03-14 00:00:00 | 3981.40 | 4021.00 | 3973.51 | 4004.79 | 84229.07 | 0.20 | 0.43 | 0.75 | 0.20 | 0.57 | 0.00 |
| 2024-03-14 00:00:00 | 2024-03-14 06:00:00 | 4003.78 | 4010.98 | 3940.64 | 3969.16 | 94377.40 | 0.20 | 0.57 | 0.00 | 0.20 | 0.57 | 0.25 |
| 2024-03-14 06:00:00 | 2024-03-14 12:00:00 | 3970.53 | 3997.70 | 3943.12 | 3955.04 | 88992.42 | 0.20 | 0.57 | 0.25 | 0.20 | 0.57 | 0.50 |
| 2024-03-14 12:00:00 | 2024-03-14 18:00:00 | 3951.40 | 3967.40 | 3820.20 | 3874.80 | 249741.76 | 0.20 | 0.57 | 0.50 | 0.20 | 0.57 | 0.75 |
| 2024-03-14 18:00:00 | 2024-03-15 00:00:00 | 3874.81 | 3892.00 | 3723.00 | 3881.69 | 215246.50 | 0.20 | 0.57 | 0.75 | 0.20 | 0.71 | 0.00 |
| 2024-03-15 00:00:00 | 2024-03-15 06:00:00 | 3886.38 | 3934.02 | 3623.00 | 3674.21 | 326125.91 | 0.20 | 0.71 | 0.00 | 0.20 | 0.71 | 0.25 |
| 2024-03-15 06:00:00 | 2024-03-15 12:00:00 | 3683.87 | 3779.92 | 3570.00 | 3689.33 | 288952.26 | 0.20 | 0.71 | 0.25 | 0.20 | 0.71 | 0.50 |
| 2024-03-15 12:00:00 | 2024-03-15 18:00:00 | 3690.92 | 3742.00 | 3659.01 | 3694.74 | 164260.59 | 0.20 | 0.71 | 0.50 | 0.20 | 0.71 | 0.75 |
| 2024-03-15 18:00:00 | 2024-03-16 00:00:00 | 3697.50 | 3806.62 | 3606.65 | 3742.19 | 168083.81 | 0.20 | 0.71 | 0.75 | 0.20 | 0.86 | 0.00 |
| 2024-03-16 00:00:00 | 2024-03-16 06:00:00 | 3739.04 | 3781.12 | 3690.18 | 3714.01 | 98064.77 | 0.20 | 0.86 | 0.00 | 0.20 | 0.86 | 0.25 |
| 2024-03-16 06:00:00 | 2024-03-16 12:00:00 | 3715.40 | 3741.35 | 3661.83 | 3692.29 | 87543.55 | 0.20 | 0.86 | 0.25 | 0.20 | 0.86 | 0.50 |
| 2024-03-16 12:00:00 | 2024-03-16 18:00:00 | 3695.56 | 3711.37 | 3626.39 | 3632.39 | 134006.15 | 0.20 | 0.86 | 0.50 | 0.20 | 0.86 | 0.75 |
| 2024-03-16 18:00:00 | 2024-03-17 00:00:00 | 3632.35 | 3638.14 | 3468.80 | 3523.09 | 228731.64 | 0.20 | 0.86 | 0.75 | 0.21 | 1.00 | 0.00 |
| 2024-03-17 00:00:00 | 2024-03-17 06:00:00 | 3522.11 | 3582.40 | 3504.95 | 3545.78 | 109734.06 | 0.21 | 1.00 | 0.00 | 0.21 | 1.00 | 0.25 |
| 2024-03-17 06:00:00 | 2024-03-17 12:00:00 | 3548.68 | 3606.41 | 3412.00 | 3578.99 | 202214.19 | 0.21 | 1.00 | 0.25 | 0.21 | 1.00 | 0.50 |
| 2024-03-17 12:00:00 | 2024-03-17 18:00:00 | 3583.40 | 3649.00 | 3528.36 | 3644.63 | 133044.51 | 0.21 | 1.00 | 0.50 | 0.21 | 1.00 | 0.75 |
| 2024-03-17 18:00:00 | 2024-03-18 00:00:00 | 3638.61 | 3678.68 | 3623.04 | 3644.70 | 72965.08 | 0.21 | 1.00 | 0.75 | 0.21 | 0.14 | 0.00 |
| 2024-03-18 00:00:00 | 2024-03-18 06:00:00 | 3638.68 | 3645.02 | 3557.31 | 3634.29 | 115921.50 | 0.21 | 0.14 | 0.00 | 0.21 | 0.14 | 0.25 |
| 2024-03-18 06:00:00 | 2024-03-18 12:00:00 | 3631.40 | 3640.97 | 3548.99 | 3597.83 | 135543.14 | 0.21 | 0.14 | 0.25 | 0.21 | 0.14 | 0.50 |
| 2024-03-18 12:00:00 | 2024-03-18 18:00:00 | 3595.71 | 3613.41 | 3454.09 | 3508.18 | 201109.52 | 0.21 | 0.14 | 0.50 | 0.21 | 0.14 | 0.75 |
| 2024-03-18 18:00:00 | 2024-03-19 00:00:00 | 3504.21 | 3548.00 | 3465.00 | 3520.47 | 118104.04 | 0.21 | 0.14 | 0.75 | 0.21 | 0.29 | 0.00 |
| 2024-03-19 00:00:00 | 2024-03-19 06:00:00 | 3521.38 | 3548.09 | 3353.00 | 3382.20 | 259922.50 | 0.21 | 0.29 | 0.00 | 0.21 | 0.29 | 0.25 |
| 2024-03-19 06:00:00 | 2024-03-19 12:00:00 | 3384.16 | 3393.07 | 3202.84 | 3276.51 | 341397.87 | 0.21 | 0.29 | 0.25 | 0.21 | 0.29 | 0.50 |
| 2024-03-19 12:00:00 | 2024-03-19 18:00:00 | 3276.60 | 3357.68 | 3223.50 | 3314.29 | 248158.46 | 0.21 | 0.29 | 0.50 | 0.21 | 0.29 | 0.75 |
| 2024-03-19 18:00:00 | 2024-03-20 00:00:00 | 3308.12 | 3359.80 | 3150.88 | 3158.65 | 200251.58 | 0.21 | 0.29 | 0.75 | 0.22 | 0.43 | 0.00 |
| 2024-03-20 00:00:00 | 2024-03-20 06:00:00 | 3156.40 | 3266.01 | 3056.56 | 3109.95 | 313301.52 | 0.22 | 0.43 | 0.00 | 0.22 | 0.43 | 0.25 |
| 2024-03-20 06:00:00 | 2024-03-20 12:00:00 | 3114.25 | 3296.72 | 3108.23 | 3293.26 | 242049.30 | 0.22 | 0.43 | 0.25 | 0.22 | 0.43 | 0.50 |
| 2024-03-20 12:00:00 | 2024-03-20 18:00:00 | 3293.27 | 3397.00 | 3140.71 | 3299.19 | 399848.30 | 0.22 | 0.43 | 0.50 | 0.22 | 0.43 | 0.75 |
| 2024-03-20 18:00:00 | 2024-03-21 00:00:00 | 3324.60 | 3535.24 | 3295.42 | 3516.53 | 252140.30 | 0.22 | 0.43 | 0.75 | 0.22 | 0.57 | 0.00 |
| 2024-03-21 00:00:00 | 2024-03-21 06:00:00 | 3519.72 | 3558.99 | 3446.47 | 3510.09 | 155414.89 | 0.22 | 0.57 | 0.00 | 0.22 | 0.57 | 0.25 |
| 2024-03-21 06:00:00 | 2024-03-21 12:00:00 | 3506.26 | 3587.32 | 3502.00 | 3531.18 | 139077.71 | 0.22 | 0.57 | 0.25 | 0.22 | 0.57 | 0.50 |
| 2024-03-21 12:00:00 | 2024-03-21 18:00:00 | 3535.14 | 3574.41 | 3462.10 | 3473.00 | 156719.94 | 0.22 | 0.57 | 0.50 | 0.22 | 0.57 | 0.75 |
| 2024-03-21 18:00:00 | 2024-03-22 00:00:00 | 3481.14 | 3521.91 | 3412.00 | 3492.84 | 151560.76 | 0.22 | 0.57 | 0.75 | 0.22 | 0.71 | 0.00 |
