| time start | time end | open | high | low | close | volume | minmax(64)_1_open | minmax(64)_1_high | minmax(64)_1_low | minmax(64)_1_close |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2024-03-05 00:00:00 | 2024-03-05 06:00:00 | 3625.60 | 3740.00 | 3607.24 | 3715.80 | 274498.96 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |
| 2024-03-05 06:00:00 | 2024-03-05 12:00:00 | 3715.81 | 3742.00 | 3651.87 | 3731.46 | 152210.39 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |
| 2024-03-05 12:00:00 | 2024-03-05 18:00:00 | 3735.00 | 3822.04 | 3556.46 | 3686.51 | 447418.36 | 1.000000 | 1.000000 | 0.695496 | 0.876017 |
| 2024-03-05 18:00:00 | 2024-03-06 00:00:00 | 3676.01 | 3686.52 | 3200.00 | 3553.66 | 518653.59 | 0.850620 | 0.687180 | 0.000000 | 0.509585 |
| 2024-03-06 00:00:00 | 2024-03-06 06:00:00 | 3552.21 | 3770.63 | 3499.40 | 3769.44 | 255279.66 | 0.537123 | 0.881330 | 0.662580 | 1.000000 |
| 2024-03-06 06:00:00 | 2024-03-06 12:00:00 | 3761.21 | 3899.47 | 3740.83 | 3879.74 | 292368.06 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |
| 2024-03-06 12:00:00 | 2024-03-06 18:00:00 | 3881.83 | 3900.00 | 3724.00 | 3847.06 | 295844.49 | 1.000000 | 1.000000 | 0.968881 | 0.936026 |
| 2024-03-06 18:00:00 | 2024-03-07 00:00:00 | 3836.67 | 3892.58 | 3792.70 | 3818.58 | 125969.90 | 0.916637 | 0.985485 | 1.000000 | 0.880273 |
| 2024-03-07 00:00:00 | 2024-03-07 06:00:00 | 3822.71 | 3852.69 | 3742.51 | 3753.98 | 137763.58 | 0.890868 | 0.907449 | 0.915320 | 0.753812 |
| 2024-03-07 06:00:00 | 2024-03-07 12:00:00 | 3757.67 | 3814.92 | 3735.00 | 3787.58 | 109057.39 | 0.770808 | 0.833561 | 0.902649 | 0.819588 |
| 2024-03-07 12:00:00 | 2024-03-07 18:00:00 | 3789.40 | 3872.60 | 3765.12 | 3858.61 | 158292.12 | 0.829380 | 0.946399 | 0.953467 | 0.958636 |
| 2024-03-07 18:00:00 | 2024-03-08 00:00:00 | 3861.92 | 3933.81 | 3840.00 | 3868.76 | 135743.14 | 0.963247 | 1.000000 | 1.000000 | 0.978506 |
| 2024-03-08 00:00:00 | 2024-03-08 06:00:00 | 3868.75 | 3940.60 | 3863.56 | 3888.07 | 99459.34 | 0.975855 | 1.000000 | 1.000000 | 1.000000 |
| 2024-03-08 06:00:00 | 2024-03-08 12:00:00 | 3889.34 | 3954.98 | 3883.59 | 3950.46 | 122353.92 | 1.000000 | 1.000000 | 1.000000 | 1.000000 |
| 2024-03-08 12:00:00 | 2024-03-08 18:00:00 | 3949.30 | 3993.75 | 3820.00 | 3942.38 | 303268.79 | 1.000000 | 1.000000 | 0.906976 | 0.986106 |
| 2024-03-08 18:00:00 | 2024-03-09 00:00:00 | 3945.00 | 3950.85 | 3871.28 | 3883.37 | 121236.52 | 0.992941 | 0.929083 | 0.981992 | 0.884636 |
| 2024-03-09 00:00:00 | 2024-03-09 06:00:00 | 3883.36 | 3931.39 | 3877.50 | 3918.40 | 59119.83 | 0.891760 | 0.896914 | 0.991091 | 0.944871 |
| 2024-03-09 06:00:00 | 2024-03-09 12:00:00 | 3918.51 | 3942.00 | 3887.99 | 3912.50 | 67930.49 | 0.949458 | 0.914453 | 1.000000 | 0.934726 |
| 2024-03-09 12:00:00 | 2024-03-09 18:00:00 | 3913.25 | 3927.05 | 3870.01 | 3883.07 | 78922.44 | 0.940824 | 0.889739 | 0.973866 | 0.884120 |
| 2024-03-09 18:00:00 | 2024-03-10 00:00:00 | 3881.98 | 3912.68 | 3878.02 | 3905.20 | 48880.09 | 0.889494 | 0.865984 | 0.985509 | 0.922173 |
| 2024-03-10 00:00:00 | 2024-03-10 06:00:00 | 3908.92 | 3950.00 | 3899.51 | 3938.83 | 76341.54 | 0.933716 | 0.927678 | 1.000000 | 0.980002 |
