#{"t_start": 1720030536.0450284, "env_id": "None"}
r,l,t
0.628228,128,1.94185
0.993061,128,3.056803
-0.781757,128,4.132319
-1.483581,128,5.180288
-0.739288,128,6.141393
0.124988,128,7.128967
-0.331518,128,8.197554
-5.565232,128,9.265866
-1.980172,128,10.227937
0.257611,128,11.294311
1.671819,128,12.360646
-1.541832,128,13.477534
-2.404632,128,14.55287
1.17104,128,15.616523
6.105983,128,16.649669
-0.124773,128,17.675425
-25.526786,128,18.754611
-0.885569,128,19.935295
-0.022036,128,20.938588
-1.460807,128,21.933526
3.601389,128,22.978095
-2.486449,128,24.049207
-2.382581,128,25.022924
-1.194636,128,25.978669
1.877664,128,27.141655
-0.201043,128,28.188586
15.489494,128,29.195791
-5.661551,128,30.271221
-5.077568,128,31.369462
-0.407647,128,32.460739
0.051394,128,33.495326
-2.435796,128,34.545935
-1.224089,128,35.577149
-15.580044,128,36.566568
-4.406034,128,37.708545
-0.066229,128,38.745046
-7.531117,128,39.807418
6.872995,128,40.9015
-0.916257,128,41.985862
0.329963,128,43.038604
-1.050256,128,44.15787
-0.516938,128,45.222881
0.037302,128,46.31564
-0.781417,128,47.226255
0.569123,128,48.341738
1.502252,128,49.487288
-0.206639,128,50.569692
-17.176041,128,51.60434
0.639209,128,52.636314
-0.817003,128,53.688708
0.062756,128,54.751383
-0.213268,128,55.833178
-2.213268,128,56.915774
0.27709,128,57.942033
-0.491421,128,58.961813
-0.077169,128,60.099847
-0.143751,128,61.147551
-10.42546,128,62.300111
-5.450886,128,63.347002
-2.990271,128,64.440375
-12.726787,128,65.412577
-6.42537,128,66.475364
-3.347943,128,67.466971
-0.043819,128,68.632432
-0.286619,128,69.774246
-0.955779,128,70.890595
-1.24174,128,71.898826
-1.466298,128,73.085431
4.668839,128,74.277733
-0.215669,128,75.382913
-7.484464,128,76.4905
-3.926767,128,77.642356
-3.024762,128,78.674772
-2.559697,128,79.749768
0.998021,128,80.740793
0.828651,128,81.853446
-0.391245,128,82.857696
-0.642814,128,83.929362
-0.728729,128,84.985721
-1.556477,128,86.07533
0.129059,128,87.086959
-6.294704,128,88.169603
0.04576,128,89.234294
-0.551841,128,90.339462
-0.248107,128,91.35012
-0.000155,128,92.47016
-0.978669,128,93.529736
-0.516847,128,94.572851
0.167174,128,95.615974
-0.301477,128,96.654033
-18.740917,128,97.635044
0.273923,128,98.689181
-5.869367,128,99.763972
-0.731692,128,100.941005
0.05,128,102.069548
-2.184577,128,103.218853
-15.893836,128,104.2605
-8.201184,128,105.349425
-0.626617,128,106.516725
-1.835419,128,107.602551
6.831201,128,108.778419
-2.293833,128,109.810652
-13.390273,128,110.870973
1.749706,128,111.996268
-0.210525,128,113.041892
0.444744,128,114.11616
-0.006549,128,115.10738
-0.506308,128,116.172911
5.496031,128,117.206599
-0.559779,128,118.257637
0.634032,128,119.36144
-0.952712,128,120.31393
0.062521,128,121.396667
-2.096524,128,122.418621
-0.144165,128,123.453021
-1.631314,128,124.372389
-0.032663,128,125.441505
-0.212969,128,126.482563
0.020468,128,127.616546
-16.499634,128,128.654189
-3.979603,128,129.743705
-0.313739,128,130.730277
0.364881,128,131.786613
-0.9288,128,132.913587
10.387895,128,133.97857
-3.080804,128,134.985216
0.078936,128,136.118175
6.816406,128,137.147249
0.086185,128,138.224798
-0.392632,128,139.31802
0.481082,128,140.300139
-0.488264,128,141.356428
-0.29278,128,142.449424
-1.200697,128,143.479355
-0.004829,128,144.594945
0.084946,128,145.664922
0.018744,128,146.733939
-0.026217,128,147.7465
-0.119598,128,148.819143
