#{"t_start": 1720028026.2019715, "env_id": "None"}
r,l,t
-9.713995,128,28.884094
-1.842539,128,31.155835
-1.557554,128,32.658129
0.147472,128,34.660842
0.098404,128,36.054024
-0.907046,128,37.211472
-4.836876,128,38.392403
-0.706634,128,39.527403
-3.626186,128,40.641267
-3.704284,128,41.804226
-5.705503,128,42.929257
0.190129,128,44.105575
0.040611,128,45.135273
-0.529849,128,46.687583
0.414941,128,47.960895
-3.88284,128,49.250005
-4.290285,128,50.382681
0.388305,128,51.548968
-0.468695,128,52.731908
-0.289589,128,53.914855
-0.223226,128,54.941882
-0.261618,128,56.030773
-0.256525,128,57.131029
6.936867,128,58.226017
-2.706662,128,59.567821
-20.284851,128,60.662469
-1.069015,128,61.852011
-1.254226,128,62.910784
-0.998606,128,64.06486
-0.52061,128,65.160906
-5.283963,128,66.219681
-0.61933,128,67.264063
-2.274254,128,68.245807
-3.130289,128,69.31623
-1.167411,128,70.379571
-2.809504,128,71.450999
-2.371179,128,72.500368
11.543409,128,73.67942
-66.77656,128,75.024132
0.105176,128,76.068018
-1.295563,128,77.189352
-0.600354,128,78.296474
-0.806215,128,79.389471
-0.424133,128,80.492511
-2.09884,128,81.760183
-0.09937,128,82.821933
-3.966,128,84.037942
-5.589832,128,85.097697
-0.071078,128,86.237162
-2.533542,128,87.340787
0.791509,128,88.464875
-1.182327,128,89.502518
-0.508752,128,90.652277
0.019454,128,91.754376
-14.583436,128,92.868029
-10.869841,128,93.955822
0.701486,128,95.108382
0.012373,128,96.161263
-0.208839,128,97.250046
-0.610548,128,98.353382
-0.123324,128,99.368541
-0.930112,128,100.468493
-0.236436,128,101.38185
0.138858,128,102.471994
-6.476764,128,103.553925
-1.668611,128,104.571632
-3.671408,128,105.533984
-1.569375,128,106.593775
0.150514,128,107.665205
-0.305223,128,108.68958
-2.029528,128,109.70878
-0.56077,128,110.763687
0.312325,128,111.848806
-2.135471,128,112.880609
-0.042063,128,113.879694
-0.146554,128,114.904485
-0.074891,128,115.947762
-0.112017,128,116.938907
0.043431,128,118.043427
-2.162248,128,119.153794
-4.618887,128,120.331576
-1.237532,128,121.325521
-2.405875,128,122.341584
-0.129258,128,123.364399
-0.273235,128,124.391192
0.12391,128,125.374157
-3.517639,128,126.39605
-14.013408,128,127.400322
-0.52072,128,128.464542
1.072631,128,129.488922
0.210536,128,130.635719
-2.151833,128,131.622101
-1.611256,128,132.880688
-0.594448,128,133.924728
-0.090285,128,135.009792
0.385085,128,136.069985
-0.296215,128,137.113914
0.275135,128,138.292482
-0.154412,128,139.613198
0.051784,128,140.785149
0.137,128,141.984678
-0.531369,128,143.067795
-14.409507,128,144.383429
-0.379913,128,145.574055
-17.798794,128,146.760599
-0.364454,128,147.870091
