#{"t_start": 1720019115.5536294, "env_id": "None"}
r,l,t
-2.785638,128,1.589508
-3.314054,128,2.088863
-2.603229,128,2.579139
-0.366451,128,3.09427
-0.956382,128,3.686763
-0.894013,128,4.20851
-0.716924,128,4.726472
-0.793512,128,5.295738
-0.657679,128,5.812878
-0.838738,128,6.310386
-1.102583,128,6.921449
-1.038502,128,7.416646
-0.974262,128,8.095596
-0.747204,128,8.644035
-1.435587,128,9.379797
-2.892196,128,10.064942
-0.660104,128,10.619915
-0.171481,128,11.155328
-0.586424,128,11.644392
-0.685603,128,12.169483
-1.138846,128,12.704463
-0.587658,128,13.2271
-0.309958,128,13.769703
-0.393565,128,14.338081
-0.295515,128,14.854174
-0.381179,128,15.378834
-0.131933,128,15.874841
-0.203093,128,16.42609
-0.383916,128,16.960065
-0.334467,128,17.487088
-0.250994,128,18.018179
-0.27417,128,18.64086
-0.300309,128,19.167103
-0.180949,128,19.669592
-0.278685,128,20.166742
-0.518881,128,20.706653
-0.297995,128,21.216171
-0.268241,128,21.787503
-0.523376,128,22.297044
-0.878005,128,22.894835
-0.349364,128,23.43059
-1.043241,128,23.946831
-1.10634,128,24.521886
-1.700875,128,25.103166
-1.003599,128,25.664706
-0.233419,128,26.171535
-0.208599,128,26.710004
-0.225498,128,27.267088
-1.392884,128,27.872718
-1.58879,128,28.403904
-0.183747,128,28.898052
-2.324703,128,29.425881
-1.872357,128,29.960265
-0.400685,128,30.52411
-0.351287,128,31.050007
-0.323556,128,31.597765
-0.447945,128,32.130047
-0.544334,128,32.67401
-0.858049,128,33.191632
-0.383008,128,33.752864
0.416161,128,34.553427
-0.937511,128,35.138695
-1.067065,128,35.702137
-1.207716,128,36.203351
-0.364522,128,36.742111
-0.55387,128,37.26632
-0.971923,128,37.755272
-0.299461,128,38.266909
-1.395284,128,38.83366
-0.835014,128,39.335207
-1.079118,128,39.860153
-1.995046,128,40.383126
-2.54682,128,40.91623
-1.334202,128,41.432794
-2.034643,128,41.965926
-2.056479,128,42.511832
-2.57008,128,43.048851
-2.3693,128,43.582642
-3.046355,128,44.149255
-1.378438,128,44.682402
-4.09476,128,45.249844
-1.775821,128,45.781439
-1.79131,128,46.292625
-1.049734,128,46.827087
-0.304556,128,47.357593
-0.473952,128,47.891639
-0.494915,128,48.435175
-0.452247,128,48.946868
-1.459999,128,49.490035
-0.20751,128,50.014929
-0.140849,128,50.519202
-0.219139,128,51.056492
-0.615148,128,51.605743
-0.713215,128,52.114537
-1.120984,128,52.632571
-0.508058,128,53.198135
-0.684718,128,53.731782
-1.181504,128,54.265435
-0.94418,128,54.770649
-0.876375,128,55.288203
-1.075906,128,55.807057
-0.925196,128,56.319769
-2.704173,128,56.841327
-0.185632,128,57.389036
-0.188477,128,57.910581
-0.775383,128,58.452981
-1.055613,128,58.984931
-0.681639,128,59.493751
-0.859765,128,60.010169
-0.227694,128,60.55483
-0.207133,128,61.075769
-0.030354,128,61.625881
-1.20503,128,62.152028
-0.796915,128,62.642713
-1.173927,128,63.170215
-0.59624,128,63.700293
-0.737811,128,64.208272
-0.816794,128,64.732511
-0.793331,128,65.251014
-0.215493,128,65.77924
-2.302308,128,66.32439
-1.398938,128,66.869743
-0.669245,128,67.440497
-0.503372,128,67.973651
-0.351738,128,68.590116
-0.753791,128,69.149948
-0.208835,128,69.640943
-0.187712,128,70.156565
-0.205276,128,70.684446
-1.701579,128,71.214659
-1.364454,128,71.789152
-1.908858,128,72.349527
-1.717926,128,72.924628
-1.589443,128,73.523836
-0.168985,128,74.078572
-0.192486,128,74.600714
-0.857243,128,75.119332
-0.75267,128,75.604768
-0.264246,128,76.156597
-2.298634,128,76.693364
-2.504767,128,77.420543
-2.717796,128,77.986696
-1.09275,128,78.514185
-2.158882,128,79.058103
-1.510379,128,79.653011
-1.484134,128,80.171305
-1.979053,128,80.708359
-1.581423,128,81.235775
-2.130195,128,81.780652
1.151003,128,82.315829
-2.442027,128,82.818751
-1.099072,128,83.385038
-0.788876,128,83.93586
-0.879469,128,84.456476
-0.183158,128,84.977927
-1.088802,128,85.534329
-1.150961,128,86.167529
-0.844057,128,86.689952
-0.209702,128,87.217112
-0.244761,128,87.784857
-0.325696,128,88.355798
-0.231501,128,88.87929
-0.184594,128,89.393561
-0.230964,128,89.934589
-0.229497,128,90.484131
-0.221311,128,91.011204
-0.814861,128,91.543513
-0.6752,128,92.200993
-0.969145,128,92.799918
-0.149912,128,93.336798
-0.161268,128,93.891472
-2.028775,128,94.486778
-1.504676,128,95.032977
-0.272858,128,95.581005
-2.326888,128,96.097772
-0.250562,128,96.662903
-0.618474,128,97.176421
-0.276917,128,97.681561
-0.294527,128,98.198353
-0.042434,128,98.857565
-0.881453,128,99.439579
-0.804594,128,100.044118
-0.875961,128,100.640698
-0.180526,128,101.149356
-0.1746,128,101.73055
-1.011202,128,102.283171
-1.489288,128,102.873891
-0.880663,128,103.424376
-0.967142,128,103.997584
-0.910881,128,104.563457
-1.024605,128,105.175288
-0.862396,128,105.823451
-0.221912,128,106.473565
-0.170674,128,107.011171
-0.176031,128,107.526808
-0.18376,128,108.136736
-0.613165,128,108.68244
-0.777777,128,109.226234
-0.49361,128,109.77616
-0.390154,128,110.32657
-2.104802,128,110.843494
-2.247426,128,111.376895
-1.543283,128,111.888016
