| time start | time end | open | high | low | close | volume | l_h | cl_hl | ol_hl |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2024-03-05 00:00:00 | 2024-03-05 06:00:00 | 3629.00 | 3740.00 | 3607.24 | 3715.80 | 274832.31 | 0.964503 | 0.817717 | 0.163905 |
| 2024-03-05 06:00:00 | 2024-03-05 12:00:00 | 3715.81 | 3742.00 | 3651.87 | 3731.46 | 152210.39 | 0.975914 | 0.883057 | 0.709420 |
| 2024-03-05 12:00:00 | 2024-03-05 18:00:00 | 3735.00 | 3822.04 | 3556.46 | 3686.51 | 447185.78 | 0.930514 | 0.489683 | 0.672264 |
| 2024-03-05 18:00:00 | 2024-03-06 00:00:00 | 3686.52 | 3686.52 | 3200.00 | 3553.66 | 518886.16 | 0.868027 | 0.726917 | 1.000000 |
| 2024-03-06 00:00:00 | 2024-03-06 06:00:00 | 3552.21 | 3770.63 | 3499.40 | 3769.44 | 255279.66 | 0.928068 | 0.995613 | 0.194706 |
| 2024-03-06 06:00:00 | 2024-03-06 12:00:00 | 3761.21 | 3899.47 | 3740.83 | 3879.74 | 292368.06 | 0.959318 | 0.875630 | 0.128466 |
| 2024-03-06 12:00:00 | 2024-03-06 18:00:00 | 3881.83 | 3900.00 | 3724.00 | 3847.06 | 295826.64 | 0.954872 | 0.699205 | 0.896762 |
| 2024-03-06 18:00:00 | 2024-03-07 00:00:00 | 3836.67 | 3892.58 | 3792.70 | 3818.58 | 125987.75 | 0.974341 | 0.259112 | 0.440227 |
| 2024-03-07 00:00:00 | 2024-03-07 06:00:00 | 3822.71 | 3852.69 | 3742.51 | 3753.98 | 137751.52 | 0.971402 | 0.104102 | 0.727900 |
| 2024-03-07 06:00:00 | 2024-03-07 12:00:00 | 3753.05 | 3814.92 | 3735.00 | 3787.58 | 109069.45 | 0.979051 | 0.657910 | 0.225852 |
| 2024-03-07 12:00:00 | 2024-03-07 18:00:00 | 3789.40 | 3872.60 | 3765.12 | 3858.61 | 158292.12 | 0.972246 | 0.869836 | 0.225901 |
| 2024-03-07 18:00:00 | 2024-03-08 00:00:00 | 3861.92 | 3933.81 | 3840.00 | 3868.76 | 135743.14 | 0.976153 | 0.306577 | 0.233663 |
| 2024-03-08 00:00:00 | 2024-03-08 06:00:00 | 3868.75 | 3940.60 | 3863.56 | 3888.07 | 99459.34 | 0.980450 | 0.318146 | 0.067367 |
| 2024-03-08 06:00:00 | 2024-03-08 12:00:00 | 3889.34 | 3954.98 | 3883.59 | 3950.46 | 122353.92 | 0.981949 | 0.936685 | 0.080544 |
| 2024-03-08 12:00:00 | 2024-03-08 18:00:00 | 3949.30 | 3993.75 | 3820.00 | 3942.38 | 303268.79 | 0.956495 | 0.704345 | 0.744173 |
| 2024-03-08 18:00:00 | 2024-03-09 00:00:00 | 3945.00 | 3950.85 | 3871.28 | 3883.37 | 121247.03 | 0.979860 | 0.151943 | 0.926479 |
| 2024-03-09 00:00:00 | 2024-03-09 06:00:00 | 3886.04 | 3931.39 | 3877.50 | 3918.40 | 59109.32 | 0.986292 | 0.758953 | 0.158472 |
| 2024-03-09 06:00:00 | 2024-03-09 12:00:00 | 3918.51 | 3942.00 | 3887.99 | 3912.50 | 68143.10 | 0.986299 | 0.453805 | 0.565081 |
| 2024-03-09 12:00:00 | 2024-03-09 18:00:00 | 3910.05 | 3927.05 | 3870.01 | 3883.07 | 78709.83 | 0.985475 | 0.228963 | 0.701964 |
| 2024-03-09 18:00:00 | 2024-03-10 00:00:00 | 3881.98 | 3912.68 | 3878.02 | 3905.20 | 48925.99 | 0.991142 | 0.784189 | 0.114252 |
| 2024-03-10 00:00:00 | 2024-03-10 06:00:00 | 3908.92 | 3950.00 | 3899.51 | 3938.83 | 76295.64 | 0.987218 | 0.778770 | 0.186372 |
| 2024-03-10 06:00:00 | 2024-03-10 12:00:00 | 3939.71 | 3964.67 | 3920.02 | 3932.72 | 74690.21 | 0.988738 | 0.284434 | 0.440985 |
| 2024-03-10 12:00:00 | 2024-03-10 18:00:00 | 3933.20 | 3947.18 | 3860.65 | 3912.03 | 115972.70 | 0.978078 | 0.593784 | 0.838438 |
| 2024-03-10 18:00:00 | 2024-03-11 00:00:00 | 3911.60 | 3918.00 | 3791.26 | 3878.47 | 89646.55 | 0.967652 | 0.688101 | 0.949504 |
| 2024-03-11 00:00:00 | 2024-03-11 06:00:00 | 3875.60 | 3888.38 | 3722.95 | 3847.98 | 130313.03 | 0.957455 | 0.755788 | 0.922748 |
| 2024-03-11 06:00:00 | 2024-03-11 12:00:00 | 3847.89 | 4054.60 | 3834.22 | 4034.25 | 299895.25 | 0.945647 | 0.907659 | 0.062029 |
| 2024-03-11 12:00:00 | 2024-03-11 18:00:00 | 4036.77 | 4065.80 | 3998.92 | 4038.66 | 187990.13 | 0.983551 | 0.594197 | 0.565939 |
| 2024-03-11 18:00:00 | 2024-03-12 00:00:00 | 4036.60 | 4086.23 | 4027.92 | 4064.80 | 103328.23 | 0.985730 | 0.632483 | 0.148862 |
| 2024-03-12 00:00:00 | 2024-03-12 06:00:00 | 4072.04 | 4093.92 | 4021.19 | 4040.01 | 107310.67 | 0.982235 | 0.258766 | 0.699163 |
