#{"t_start": 1720183358.0410326, "env_id": "None"}
r,l,t
-0.891797,128,1.835005
-1.799453,128,2.251883
-0.366763,128,2.653177
-0.455482,128,3.069687
-2.135002,128,3.486605
-0.938832,128,3.903516
-0.203735,128,4.341846
-0.724454,128,4.743068
-1.012014,128,5.14431
-0.708141,128,5.530852
-0.992748,128,5.908782
-1.019072,128,6.309874
-0.184709,128,6.711141
-1.807751,128,7.112296
-0.582443,128,7.594093
-1.170242,128,8.083386
-0.975756,128,8.515709
-0.893861,128,8.937106
-1.046354,128,9.377258
-0.224979,128,9.856174
-0.577027,128,10.288777
-0.408645,128,10.705691
-0.504041,128,11.192527
-2.413031,128,11.589703
-0.950851,128,12.028692
-0.147777,128,12.440278
-1.746288,128,12.840885
-1.860126,128,13.236566
-1.037082,128,13.671523
-0.684332,128,14.071031
-0.28265,128,14.497066
-0.173685,128,14.906584
-3.839752,128,15.35726
-1.612692,128,15.769618
-0.944609,128,16.164298
-0.385343,128,16.58331
-0.314277,128,16.980637
-1.076884,128,17.398507
-1.257444,128,17.796367
-1.259928,128,18.229894
-0.161856,128,18.638472
-1.318007,128,19.068794
-1.011758,128,19.504949
-0.661601,128,19.909028
-0.980101,128,20.317124
-0.943211,128,20.723067
-0.321136,128,21.139575
-0.920597,128,21.53672
-0.40891,128,21.939516
-0.358149,128,22.354355
-0.398209,128,22.808696
-0.224413,128,23.209877
-0.523359,128,23.641895
-1.327684,128,24.065231
-1.059434,128,24.46635
-0.289229,128,24.867119
-0.450434,128,25.29956
-3.037863,128,25.719872
-0.191164,128,26.148178
-0.215722,128,26.571532
-0.203738,128,26.972718
-0.198072,128,27.359743
-0.369181,128,27.768404
-0.80924,128,28.191785
-0.748638,128,28.593053
-1.073131,128,28.994328
-1.327376,128,29.411198
-1.233303,128,29.859287
-1.386567,128,30.282219
-1.546519,128,30.683332
-1.18674,128,31.131238
-1.415149,128,31.58592
-0.477283,128,32.018396
-0.203488,128,32.435282
-0.261459,128,32.852074
-0.775869,128,33.322373
-2.971787,128,33.754768
-1.768343,128,34.209341
-0.957427,128,34.640589
-0.953194,128,35.042445
-0.983072,128,35.443651
-0.301596,128,35.882321
-1.227208,128,36.314462
-0.187339,128,36.731267
-0.921742,128,37.132298
-1.134628,128,37.548536
-1.993152,128,38.034486
-1.307396,128,38.435725
-1.422868,128,38.867821
-0.278383,128,39.291201
-1.334549,128,39.738529
-1.337131,128,40.139702
-0.203064,128,40.594359
-0.186727,128,40.995231
-0.204748,128,41.412158
-1.82949,128,41.813248
-0.382857,128,42.245746
-0.306678,128,42.662621
-0.685729,128,43.048215
-0.253982,128,43.470207
-0.467092,128,43.936296
-0.482227,128,44.34023
-0.20832,128,44.7874
-1.77781,128,45.20667
-0.719494,128,45.622676
-0.225835,128,46.023823
-1.73269,128,46.441631
-0.199671,128,46.856397
-0.686994,128,47.273206
-0.684639,128,47.658798
-0.875616,128,48.044321
-0.173127,128,48.461129
-1.691716,128,48.87792
-0.166724,128,49.294765
-1.917603,128,49.718057
-2.080766,128,50.119281
-1.27817,128,50.535864
-1.952237,128,50.937117
-1.418085,128,51.353897
-1.452507,128,51.739446
-2.132092,128,52.155823
-0.209296,128,52.588155
-0.925101,128,53.020623
-0.390251,128,53.421808
-0.806492,128,53.82308
-0.701834,128,54.208667
-1.070527,128,54.617893
-0.342395,128,55.048823
-0.162502,128,55.450125
-0.182629,128,55.866935
-0.23939,128,56.267823
-1.134543,128,56.684628
-0.993527,128,57.085793
-1.23943,128,57.502419
-1.019875,128,57.872414
-0.658524,128,58.306337
-0.44253,128,58.722554
-0.326014,128,59.175968
-0.443422,128,59.583654
-0.27272,128,60.00056
-0.42622,128,60.417146
-0.404682,128,60.833978
-0.933605,128,61.25849
-0.831474,128,61.667648
-0.958087,128,62.053199
-0.858468,128,62.43878
-0.854934,128,62.839774
-2.205451,128,63.240978
-0.336326,128,63.689003
-0.468717,128,64.112353
-0.185189,128,64.575916
-0.158141,128,64.977128
-0.183292,128,65.378368
-0.201546,128,65.778976
-0.184868,128,66.180217
-0.227347,128,66.618809
-0.202528,128,67.016966
-0.866847,128,67.412981
-0.752988,128,67.803895
-1.202616,128,68.205108
-0.256126,128,68.621617
-0.223851,128,69.022838
-0.208744,128,69.423989
-0.221971,128,69.824602
-0.159073,128,70.341706
-0.241703,128,70.774178
-0.231065,128,71.212695
-0.19553,128,71.644621
-1.490143,128,72.083537
-1.543092,128,72.531644
-1.11835,128,72.932817
-0.340481,128,73.349619
-0.349255,128,73.788591
-0.277842,128,74.205493
-0.530577,128,74.70701
-0.435891,128,75.139437
-0.499299,128,75.587065
-0.561678,128,76.010445
-0.404682,128,76.442273
-0.574405,128,76.859004
-0.634117,128,77.260208
-0.779917,128,77.630164
-0.94671,128,78.046634
-0.190725,128,78.447922
-0.171456,128,78.864718
-0.268901,128,79.265855
-0.332733,128,79.682653
-0.288331,128,80.099268
-0.295078,128,80.522448
-0.236117,128,80.939264
-0.27912,128,81.342434
-0.252973,128,81.772402
-0.226804,128,82.173499
-0.17655,128,82.574778
-0.164738,128,82.975554
-0.424875,128,83.413913
-0.235627,128,83.83079
-0.178773,128,84.231955
-0.271237,128,84.663909
-0.774268,128,85.080661
-0.909595,128,85.541763
-1.920123,128,85.968251
-1.183571,128,86.385545
-2.036784,128,86.7866
-1.053514,128,87.219134
-0.267131,128,87.688354
-0.194622,128,88.085514
-0.279879,128,88.502303
-0.25047,128,88.903563
-1.10673,128,89.304682
-0.373464,128,89.743277
-0.442593,128,90.175645
-1.835665,128,90.645671
-0.473458,128,91.078179
-0.247112,128,91.479439
-0.205787,128,91.896309
-0.198505,128,92.297544
-1.532533,128,92.698727
-0.158231,128,93.099909
-0.15551,128,93.501119
-0.201625,128,93.955749
-0.694189,128,94.356241
-2.135645,128,94.773107
-3.198188,128,95.174165
-2.042603,128,95.594381
-2.023917,128,95.998546
-0.241573,128,96.395344
-1.252211,128,96.810526
-0.837566,128,97.227211
-0.893227,128,97.612753
-1.095953,128,97.991804
-0.88381,128,98.414475
-0.703093,128,98.815725
-0.985632,128,99.232658
-1.531097,128,99.63351
-0.156577,128,100.065884
-1.158309,128,100.482785
-0.368984,128,100.899649
-1.207157,128,101.317228
-1.400193,128,101.753798
-0.174744,128,102.178594
-0.162457,128,102.662391
-0.176599,128,103.142974
-0.174711,128,103.544142
-0.164503,128,103.967024
-1.092233,128,104.383819
-0.307208,128,104.800621
-1.208687,128,105.216867
-1.470863,128,105.633389
-0.23775,128,106.034603
-2.90683,128,106.488742
-1.679027,128,106.905558
-1.665018,128,107.344561
-1.687418,128,107.772202
-0.80975,128,108.209187
-1.821928,128,108.594737
-2.051791,128,109.011173
-2.212545,128,109.443429
-0.810318,128,109.825081
-0.840342,128,110.210709
-0.888523,128,110.596112
-0.321887,128,111.092529
-0.207848,128,111.528465
-1.649346,128,111.944245
-0.265078,128,112.426027
-0.2484,128,112.842856
-0.204947,128,113.24368
-0.206351,128,113.644845
-0.178615,128,114.046062
-3.067375,128,114.500325
-1.464646,128,114.915379
-0.178715,128,115.312633
-1.294117,128,115.729437
-0.569349,128,116.168375
0.37816,128,116.685302
-0.195325,128,117.102051
-0.224683,128,117.534487
-0.191323,128,117.989089
-1.074853,128,118.396871
-1.293152,128,118.803517
-1.263712,128,119.214404
-0.905646,128,119.615497
-2.156443,128,120.016655
-3.175304,128,120.417698
-3.073722,128,120.834537
-0.799916,128,121.235752
-1.193884,128,121.643198
-0.210035,128,122.060009
-0.228507,128,122.47684
-1.228799,128,122.877565
-1.067347,128,123.278719
-1.143594,128,123.664299
-1.205996,128,124.06551
-0.234446,128,124.512961
-0.316153,128,124.914243
-1.040348,128,125.346674
-1.004137,128,125.769626
-0.848976,128,126.202055
-1.655473,128,126.649824
-0.59937,128,127.072532
-0.758231,128,127.549317
-1.394704,128,128.013335
-0.713125,128,128.476985
-0.300201,128,128.962785
-0.326521,128,129.379619
-0.2994,128,129.818256
-0.248259,128,130.219529
-1.019472,128,130.636392
-0.889109,128,131.053213
-1.506638,128,131.477862
-0.516457,128,131.870919
-0.482409,128,132.309817
-0.202394,128,132.726683
-0.837804,128,133.112235
-0.478736,128,133.529102
-3.293111,128,133.94595
-0.249614,128,134.362788
-0.254955,128,134.763983
-0.257102,128,135.196388
-0.356994,128,135.603896
-0.3112,128,136.005048
-0.364543,128,136.407127
-0.317821,128,136.806806
-0.346824,128,137.223644
-0.908495,128,137.624897
-0.609825,128,138.057394
-0.997625,128,138.474232
-0.883828,128,138.891043
-0.134794,128,139.329949
-0.593403,128,139.79345
-2.214684,128,140.23196
-2.925164,128,140.679971
-3.082798,128,141.134662
-0.172092,128,141.551333
-2.194413,128,141.952536
-0.292185,128,142.384975
-0.221347,128,142.770618
-0.211329,128,143.171805
-0.198279,128,143.557272
-0.213007,128,143.942864
-0.208372,128,144.328501
-0.252449,128,144.729511
-0.368744,128,145.177576
-0.282629,128,145.594445
-0.238272,128,146.003562
-0.213585,128,146.412338
-0.906668,128,146.813262
-0.759322,128,147.198852
-0.950924,128,147.599987
-1.172266,128,148.016788
-0.302378,128,148.471011
-0.093574,128,148.925712
-0.221144,128,149.345
-1.380925,128,149.784328
-1.071741,128,150.19011
-0.769452,128,150.624067
-0.929538,128,151.036807
-0.858305,128,151.459882
-4.570337,128,151.971205
-0.594461,128,152.481963
-2.489672,128,152.941867
-2.776507,128,153.391316
-0.734557,128,153.861614
-2.570178,128,154.321728
-1.685773,128,154.776284
-0.183768,128,155.196568
-0.23898,128,155.610518
-0.262115,128,156.043843
-0.268571,128,156.441197
-0.263674,128,156.861505
-0.364016,128,157.274905
-0.368304,128,157.689555
-0.442158,128,158.0984
-0.409504,128,158.546223
0.459824,128,158.984753
-0.583806,128,159.385854
-0.663351,128,159.802396
-0.624052,128,160.203735
-0.655334,128,160.689648
-0.372103,128,161.222222
-0.558201,128,161.675277
-0.482567,128,162.107721
-0.553884,128,162.54625
-1.781298,128,162.963013
-0.096515,128,163.392065
-1.062093,128,163.839029
-0.684905,128,164.335494
0.045904,128,164.774424
-0.604437,128,165.209698
0.035229,128,165.678342
-0.849189,128,166.134161
-1.478861,128,166.605841
-0.985701,128,167.087474
-0.535618,128,167.567362
-1.617128,128,168.020955
-9.697983,128,168.49051
-0.761601,128,168.96206
-1.036106,128,169.415483
-0.145598,128,169.897269
-0.44554,128,170.399395
-0.08794,128,170.899137
-0.220202,128,171.38279
-0.203428,128,171.864634
-1.38552,128,172.346243
-1.918801,128,172.837878
-3.692141,128,173.319603
-3.692363,128,173.791103
-0.076719,128,174.280934
-0.059888,128,174.754405
-0.178105,128,175.236288
-0.67549,128,175.738009
-0.153911,128,176.217642
-1.663855,128,176.701276
-1.523288,128,177.17086
-0.922218,128,177.66458
-0.057175,128,178.184202
-0.485551,128,178.647746
-0.296236,128,179.119379
-0.189974,128,179.601315
-0.228978,128,180.072989
-0.080509,128,180.544584
-2.493692,128,181.046355
-1.236128,128,181.54812
-0.616747,128,182.019721
-1.191727,128,182.591816
-0.169412,128,183.083642
-0.244005,128,183.545198
-0.183366,128,184.024752
-0.181947,128,184.508524
-1.158711,128,184.970239
