r,t,c
-11.7909,7200,900
-11.7155,50400,6300
-11.3789,57600,7200
-10.4865,799200,99900
-9.9996,1058400,132300
-9.9583,1245600,155700
-9.6694,2714400,339300
-9.3155,3254400,406800
-6.5915,3477600,434700
-5.5895,4111200,513900
-3.8869,4572000,571500
0.3993,4852800,606600
0.8066,6091200,761400
2.0708,6717600,839700
3.5493,6796800,849600
7.4683,7452000,931500
9.4798,7653600,956700
10.4677,8474400,1059300
16.9399,9259200,1157400
26.3052,9511200,1188900
27.3109,10792800,1349100
33.5640,13600800,1700100
34.4885,13975200,1746900
35.6217,14104800,1763100
45.9474,20534400,2566800
54.9609,57686400,7210800
-0.9547,81108000,900
14.1421,81129600,3600
28.3350,81136800,4500
46.2848,81792000,86400
17.8423,86514720,900
21.9009,86838720,41400
38.8302,86881920,46800
51.0174,86989920,60300
56.6687,86997120,61200
59.4746,94153920,955800
61.8559,94938720,1053900
